id;marca;nomeDaPeca;precoComDesconto;precoSemDesconto;Descricao;Tamanho;Condicao;Cores;Disponível;Data;Status
22701;Taverniti;Jaqueta Jeans Taverniti;199;199;Jaqueta oversized jeans escuro, garimpada em Buenos Aires, Argentina. Possui quatro bolsos na frente, fechamento por botões vintage. Jaqueta original dos anos 90.;M;Vintage;;DISPONIVEL;2018-11-17 00:46:38.261335;VERIFICADO
22703;Sem Marca;Camisa Estampada Colorida;129;129;Camisa vintage com estampa colorida, de manga longa, sem bolsos. Modelagem reta. Garimpada em Buenos Aires, Argentina.;G;Vintage;;DISPONIVEL;2018-11-17 00:49:11.025250;VERIFICADO
22705;Robert Pierre;Bermuda Robert Pierre;49;49;Bermuda jeans cinza, vintage, com cinco bolsos: 3 na parte da frente e 2 nas costas, modelagem reta e barra desfiada.;42;Vintage;;DISPONIVEL;2018-11-17 00:46:21.252129;VERIFICADO
22442;Croft & Barrow;Camisa Vintage Croft & Barrow;129;129;Camisa vintage com estampa tropical, garimpada em Buenos Aires, Argentina. Tem manga curta, é bem levinha e fresquinha, ótima para o verão. Possui um bolso, fechamento por botões. É vintage, mas está em ótimo estado de conservação.;G;Vintage;;DISPONIVEL;2018-11-17 00:46:55.046895;VERIFICADO
22443;Boo Jo;Camisa Vintage Boo Jo;129;129;Camisa vintage estampada, garimpada em Buenos Aires, Argentina. Tem mangas compridas, é bem levinha e confortável, com tecido super macio.;M;Vintage;;DISPONIVEL;2018-11-17 00:49:27.774864;VERIFICADO
22444;Sem Marca;Camisa Estampada Pavão;129;129;Camisa vintage, com estampa de pavão, garimpada em Buenos Aires, Argentina. Manga longa, sem bolsos, tecido bem leve e confortável. Está em ótimo estado de conservação.;M;Vintage;;DISPONIVEL;2018-11-17 00:47:17.269334;VERIFICADO
22445;You Too;Camisa Vintage Colorida You Too;129;129;Camisa vintage com estampa bem colorida, garimpada em Buenos Aires, Argentina. É uma peça de manga longa, porém bem leve, perfeita para qualquer estação. A parte das costas é mais comprida que a parte da frente. Está em ótimo estado de conservação.;PP;Vintage;;DISPONIVEL;2018-11-17 00:47:04.711632;VERIFICADO
22446;Windmill;Camisa Windmili;129;129;Camisa vintage estampada, garimpada em Buenos Aires, Argentina. Tem estampa havaiana, bem colorida, com tecido leve, fresquinho e super confortável, perfeita para o verão. Manga curta, dois bolsos na parte da frente, em ótimo estado de conservação e super estilosa.;G;Vintage;;DISPONIVEL;2018-11-17 00:49:34.708483;VERIFICADO
22447;Rica Lewis;Jaqueta Jeans Cropped Vintage;199;199;Jaqueta jeans cropped vintage, garimpada em Buenos Aires, Argentina. Tem 4 bolsos externos, e um elástico grande na cintura, que deixa a peça com estilo bomber. Foi feita a partir do reaproveitamento de uma calça jeans, o que fica mais evidenciado na parte das costas, que era a parte das costas da calça. É uma peça única e super original.;M;Vintage;;DISPONIVEL;2018-11-17 00:46:58.127877;VERIFICADO
22448;Narrow Jeans;Jaqueta Narrow Jeans;199;199;Jaqueta vintage em jeans escuro, garimpada em Buenos Aires, Argentina. Tem quatro bolsos na parte da frente, dois deles fechados por botões. Oversized, clássica e original dos anos 90, super estilosa.;GG;Vintage;;DISPONIVEL;2018-11-17 00:49:24.277393;VERIFICADO
22449;Nike;Camiseta Futebol Americano Miami Dolphins;289;289;Camiseta oficial do time de futebol americano Miami Dolphins, na cor turquesa. Todos os detalhes, como números e símbolos, são bordados na peça. É uma peça de excelente qualidade, original, com selo oficial da NFL. Número 22, pertence ao running back Reggie Bush. Está em perfeito estado de conservação. Garimpada em Buenos Aires, Argentina.;56;Vintage;;DISPONIVEL;2018-11-17 00:46:15.015822;VERIFICADO
22450;Dibust;Jaqueta Jeans Cropped Vintage;199;199;Jaqueta jeans cropped vintage, garimpada em Buenos Aires, Argentina. Jeans escuro, com detalhes em marrom. Tem quatros bolsos na parte da frente, dois deles possuem botões. Super estilosa, original dos anos 90.;P;Vintage;;DISPONIVEL;2018-11-17 00:47:34.367683;VERIFICADO
22707;Craft&Barrow;Camisa Estampada Croft&Barrow;129;129;Camisa vintage Croft&Barrow, garimpada em Buenos Aires, Argentina. Modelagem reta, com um bolso na parte da frente, manga curta. Estampa tropical em tons verdes.;G;Vintage;;DISPONIVEL;2018-11-17 00:49:14.326239;VERIFICADO
22452;Zara;Vestido Lenço Zara;79;79;Vestido com estampa de lenço Zara Basic, bem leve e delicado. Manga 3/4, curto, com abertura na parte da frente e detalhe em metal no decote.;P;Vintage;;DISPONIVEL;2018-11-17 00:47:11.033246;VERIFICADO
22709;Pusser's;Camisa Estampada Pusser’s;129;129;Camisa vintage, garimpada em Buenos Aires, Argentina. Modelagem reta, oversized, com um bolso na parte da frente, mangas curtas. Estampa tropical em tons clarinhos. Leve e super confortável para o verão.;GG;Vintage;;DISPONIVEL;2018-11-17 00:49:07.179113;VERIFICADO
22711;Embrujo;Jaqueta Jeans Embrujo;199;199;Jaqueta jeans escura, com detalhes em camurça nas mangas e em tecido nas costas e na frente. Peça vintage, garimpada em Buenos Aires, Argentina. Possui dois bolsos externos, fechamento por botões.;P;Vintage;;DISPONIVEL;2018-11-17 00:47:23.932375;VERIFICADO
22713;Nape Nautical;Camisa Vintage Nautical;129;129;Camisa vintage, garimpada em Buenos Aires, Argentina. Modelagem reta, com um bolso na parte da frente, manga curta. Branca, com estampa de âncoras.;G;Vintage;;DISPONIVEL;2018-11-17 00:46:18.253169;VERIFICADO
22715;Panama Jack;Camisa Panama Jack;129;129;Camisa floral da marca Panama Jack, garimpada em Buenos Aires, Argentina. Possui um bolso na parte da frente, fechamento por botões, estampa tropical. Camisa super fresquinha, de modelagem reta, ótima para o verão.;M;Vintage;;DISPONIVEL;2018-11-17 00:47:37.444780;VERIFICADO
22717;Caribbean Joe;Camisa Vintage Caribbean Joe;129;129;Camisa vintage, Garimpada em Buenos Aires, Argentina. Modelagem reta, com um bolso na parte da frente e manga curta. Preta, com estampa tropical, em perfeito estado de conservação.;M;Vintage;;DISPONIVEL;2018-11-17 00:46:24.354163;VERIFICADO
22719;Campia;Camisa Tropical Campia;129;129;Camisa vintage, garimpada em Buenos Aires, Argentina. Modelagem reta, com um bolso na parte da frente, mangas curtas. Estampa tropical em tons vibrantes.;M;Vintage;;DISPONIVEL;2018-11-17 00:48:59.791239;VERIFICADO
